,Alexander Hamilton,James Madison,John Jay
Alexander Hamilton,2.1701301275787817,2.396701698974089,2.8511743693773894
James Madison,2.388749258059267,2.161230074801318,2.740029964256174
John Jay,2.7066160347588997,2.6363969681746666,2.3180269710816304
